data_dia,target,no_t,no2_t,nox_t,o3_t,nox_x_o3_t,no_lag1,no_lag7,o3_lag1,o3_lag7,pm10_lag1,pm2_5_lag1,so2_lag12,no_ma3_s1,no_ma7_s1,o3_ma7_s1,pm10_ma3_s1,pm2_5_ma3_s1,so2_ma7_s1,no_ma60_s1,nox_ma60_s1,no2_ma30_s1,o3_ma150_s1,so2_ma150_s21,pm10_ma30_s1,pm2_5_ma7_s1
2012-06-19,858.0,2.503351827317436,5.485586782818379,3.638412314100317,5.416344233994901,19.7068935583733,2.301410698908893,2.5111656743950377,6.320067142034412,4.878036894817184,3.7480067911979327,4.84120231679349,1.1479822920844565,2.2788109138356356,2.3138465616966215,5.757252715114752,3.6469105653226808,4.716441139227346,3.181798400252565,2.192419362098842,3.3559155756582797,5.283330924052941,7.203488401424824,2.445799425040061,3.443427294557379,4.371523500043335
2012-06-20,1001.0,2.3529476966504217,5.806168435044095,3.5718682844257894,3.0739996585547877,10.979921886727553,2.503351827317436,2.3797492488456347,5.416344233994901,4.990469912380396,3.850193932395328,5.838581021109879,1.3717175662633168,2.3293612815566527,2.3127302978283923,5.834153763568712,3.7041579225874735,5.095701863411865,3.229815960889597,2.1989877524974877,3.3604876159241064,5.308763582979208,7.17759553749951,2.456242199408289,3.467393309212426,4.5770347265102815
2012-06-21,650.0,2.174716964458669,4.857649505032248,3.2757561606649386,4.724886926013043,15.47757745633245,2.3529476966504217,2.168465277443213,3.0739996585547877,6.092651799627709,3.7560734545269976,5.654887085137605,1.0880508255211565,2.385903407625584,2.3089015046576478,5.560372298736482,3.7847580593734196,5.4448901410136585,3.207663660046008,2.205815934309148,3.364445916531496,5.333372584740177,7.139876214643584,2.463829932448706,3.4823174541964246,4.79067680066228
2012-06-22,806.0,2.140124908855825,4.909142870960473,3.2643149883998057,4.837766841170214,15.791994810015511,2.174716964458669,2.3011129896855578,4.724886926013043,5.868621408977215,3.3255447509097875,4.522136223320541,1.299913120524457,2.343672162808842,2.309794602802713,5.3649773167915304,3.643937379277371,5.338534776522676,2.982537596982018,2.2114207423571575,3.367766879615026,5.3195535196627874,7.1182715286922456,2.4606205631889324,3.482262399380346,4.977718824742493
2012-06-23,689.0,1.6197201408340007,4.262508567347342,2.877885730275337,8.175012162901696,23.526750848442113,2.140124908855825,2.351700724154385,4.837766841170214,5.418873167545806,2.9143613342585977,3.173133279016333,2.199421943019035,2.2225965233216383,2.2867963055413227,5.2177123785333865,3.331993179898461,4.450052195824827,2.7445156572475478,2.2159305235644173,3.371816632697234,5.306516873764114,7.1023362021718475,2.4608488416103818,3.4637160001259932,4.762580146609485
2012-06-24,572.0,2.2350920640776644,4.736465743910415,3.2907015613331603,6.360117124744491,20.929247352658468,1.6197201408340007,2.183321318443628,8.175012162901696,6.732048680420544,2.9300076520962666,2.4889137638385685,2.994523336983891,1.9781873380494985,2.1822276507812677,5.611446520727085,3.05663791242155,3.394727755391815,2.3696197211594483,2.2044693372401167,3.3632932696183357,5.265246005820063,7.1122989082712715,2.462754106116337,3.4423230349933673,4.446596563078377
2012-06-25,1131.0,2.20439445627216,4.771922725831923,3.2759294213310164,6.405367755934082,20.983532686109488,2.2350920640776644,2.301410698908893,6.360117124744491,6.320067142034412,3.466477560593221,5.154657604798792,2.944410550578841,1.99831237125583,2.1896234715861302,5.558313441344792,3.1036155156493614,3.6055682158845648,2.254998514453116,2.204697723589582,3.3615415349526723,5.230405820841534,7.100276282950949,2.470917443443348,3.4305162427793716,4.524787327716458
2012-06-26,832.0,2.1397251942278106,4.970001415143327,3.277161078971472,6.822200966441886,22.35745148014491,2.20439445627216,2.503351827317436,6.405367755934082,5.416344233994901,3.2942058675871477,3.949567941407332,3.244975750646421,2.0197355537279416,2.175764008352311,5.570499243330459,3.230230360092212,3.8643797700148976,2.0668502452477173,2.202158022484231,3.357816627511775,5.214580647351265,7.095523122924385,2.475015684258067,3.420299640976516,4.3974109883755785
2012-06-27,702.0,2.4006489983950563,4.806792890882152,3.441388786425124,5.658891397341487,19.474445398408594,2.1397251942278106,2.3529476966504217,6.822200966441886,3.0739996585547877,3.313964442471564,4.146083092379607,3.003848966243303,2.1930705715258783,2.1238173464823644,5.771335919394315,3.358215956883978,4.416769546195244,1.9083370548784888,2.2032781415605003,3.359613041282096,5.216189343612499,7.095251646308114,2.4717792488034154,3.4116205305094787,4.155625569985539
2012-06-28,741.0,2.464457263455944,5.2454443487264015,3.5668933941405907,4.298720693670373,15.333078445508312,2.4006489983950563,2.174716964458669,5.658891397341487,4.724886926013043,3.418315475901091,3.881341343432717,3.5984955299292203,2.248256216298342,2.130631818160169,6.140606167792414,3.3421619286532676,3.992330792406552,1.8607779636470885,2.21084672040734,3.365473528306129,5.182369779166633,7.098126595667565,2.4679939974537954,3.396115568169316,3.9022618925991277
2012-06-29,806.0,2.4520712525545267,5.236335557814405,3.5539296476693805,4.762186635642835,16.924476272145974,2.464457263455944,2.140124908855825,4.298720693670373,4.837766841170214,3.4498616413888046,4.560383221851311,2.6656954548916767,2.334943818692937,2.1720232894454945,6.079725277457747,3.3940471865871533,4.195935885887878,2.0406595501917972,2.2204826467854093,3.373793805187661,5.147919530294586,7.090754153240823,2.462429668148116,3.379650553967202,3.9077257495320947
2012-06-30,520.0,2.4792455982660244,5.190088951055363,3.573461239515741,5.876105134213462,20.998033936431245,2.4520712525545267,1.6197201408340007,4.762186635642835,8.175012162901696,3.751825598269922,5.521818310519241,3.820639212494601,2.439059171468509,2.216587052831023,6.06892810523955,3.5400009051866057,4.654514291934423,2.3040261874669037,2.2262388980241066,3.379571345753735,5.121266311348691,7.081642955253398,2.454524547040306,3.371783349304268,4.243252182603938
