data_formatada,descricao_aqi,aqi_final
2012-05-22,Moderate,4.164043589067068
2012-05-23,Moderate,4.291843514377646
2012-05-24,Moderate,4.358116922930285
2012-05-25,Unhealthy for Sensitive Groups,4.482343987608174
2012-05-26,Unhealthy for Sensitive Groups,4.44236143171366
2012-05-27,Moderate,4.282519514196765
2012-05-28,Unhealthy for Sensitive Groups,4.629541444598023
2012-05-29,Unhealthy for Sensitive Groups,4.579383225669718
2012-05-30,Unhealthy for Sensitive Groups,4.590659707250272
2012-05-31,Unhealthy for Sensitive Groups,4.50475125629863
2012-06-01,Moderate,4.136085622836491
2012-06-02,Moderate,4.295104803410982
2012-06-03,Moderate,4.276319906505717
2012-06-04,Unhealthy for Sensitive Groups,4.429276638607598
2012-06-05,Unhealthy for Sensitive Groups,4.3930963152227935
2012-06-06,Moderate,4.319239046863162
2012-06-07,Moderate,3.847969214433051
2012-06-08,Moderate,3.9647227190723884
2012-06-09,Moderate,3.953835337974931
2012-06-10,Moderate,3.888055540765773
2012-06-11,Moderate,4.159281511187094
2012-06-12,Unhealthy for Sensitive Groups,4.397358480836157
2012-06-13,Moderate,4.178417825416694
2012-06-14,Moderate,4.371122085067632
2012-06-15,Unhealthy for Sensitive Groups,4.411756327659422
2012-06-16,Moderate,4.294789720556452
2012-06-17,Moderate,4.13997314184312
2012-06-18,Unhealthy for Sensitive Groups,4.4217159617113495
2012-06-19,Unhealthy for Sensitive Groups,4.47161899942495
2012-06-20,Unhealthy for Sensitive Groups,4.408568353583004
2012-06-21,Moderate,4.315450359867183
2012-06-22,Moderate,4.036013250916551
2012-06-23,Moderate,3.961516345802544
2012-06-24,Moderate,4.265233081500302
2012-06-25,Moderate,3.970393051206372
2012-06-26,Moderate,4.2201915419067495
2012-06-27,Moderate,4.265310516165572
2012-06-28,Unhealthy for Sensitive Groups,4.423039743276878
2012-06-29,Unhealthy for Sensitive Groups,4.433527058628219
2012-06-30,Unhealthy for Sensitive Groups,4.43421223354444
2012-07-01,Unhealthy,4.778606021233687
2012-07-02,Unhealthy for Sensitive Groups,4.427737598250613
2012-07-03,Unhealthy for Sensitive Groups,4.483132691780211
2012-07-04,Moderate,4.372277421291548
2012-07-05,Moderate,4.345909000754553
2012-07-06,Unhealthy for Sensitive Groups,4.396843455155609
2012-07-07,Unhealthy for Sensitive Groups,4.429580921626546
2012-07-08,Moderate,4.051354264994345
2012-07-09,Moderate,4.111879239160131
