Experimento,Modelo,Features,Ponderação,Tuned,MAE_val,MAE_teste,RMSE_teste,R²_teste,sMAPE_teste
XGBoost Tuned (v2),XGBoost,C: Estendido (47),nenhuma,Sim,46.08066623635488,50.105208995244276,68.56855126850277,0.5910966899753611,19.60894201536904
LightGBM Tuned (v2),LightGBM,C: Estendido (47),nenhuma,Sim,48.15157840866494,50.585785188283154,69.5766607187368,0.5789847362791272,19.788145286864946
HistGBR Tuned (v2),HistGBR,C: Estendido (47),nenhuma,Sim,48.67990972148167,50.61075302168198,69.21034584882887,0.5834062811424985,19.67093422853211
RF Tuned (v2),RF,C: Estendido (47),nenhuma,Sim,47.769852752943414,50.718174587037254,68.82267162240913,0.5880602191037814,19.732600745886252
RF v1 (benchmark),RF,A: Original (29),Não,Sim,-,50.82040974738023,68.84942810184482,0.5877398537194571,19.756109675871638
