,MAE,RMSE,R²,sMAPE
XGBoost Tuned,50.105208995244276,68.56855126850277,0.5910966899753611,19.60894201536904
LightGBM Tuned,50.585785188283154,69.5766607187368,0.5789847362791272,19.788145286864946
HistGBR Tuned,50.61075302168198,69.21034584882887,0.5834062811424985,19.67093422853211
RF Tuned,50.718174587037254,68.82267162240913,0.5880602191037814,19.732600745886252
RF v1 (benchmark),50.82040974738023,68.84942810184482,0.5877398537194571,19.756109675871638
