data_formatada,pm2_5,pm10,no,no2,nox,temp,o3,co,so2,num_internacoes,aqi_final
2012-01-01,3.280076193677047,4.735137401553198,1.2230067171314447,4.898047911844016,3.494967119174084,5.491102768960212,4.716050467395655,0.2422553098283181,0.8966101632884159,48,4.050293524274647
2012-01-02,1.8519528559105913,3.59364211418551,1.7292853672113497,5.033433919249094,3.709710001220821,5.200034023657788,4.1421617180453625,0.2011435804218591,0.7488364532808073,68,4.12984773929804
2012-01-03,1.8027690413874347,4.8880042508474535,1.9348181532020807,5.155639206740371,3.850273356635053,5.400302518923254,3.437127874488009,0.1792348548324688,1.1164503634243856,51,4.1354102762732445
2012-01-04,3.8409588193723763,5.872230656935926,2.295374769343352,6.361010964996655,4.534357008205682,5.515247916948399,4.105569418348754,0.19473550423409444,0.8812269174710635,51,4.422597556030542
2012-01-05,3.1732197217570683,5.7257546950007026,1.927110398519962,5.92623850878786,4.211613920978331,5.558697968297095,5.110563143900981,0.18561861705751653,0.8997503695066955,42,4.5041122989901545
2012-01-06,2.832621806588475,5.13954429273927,1.7600491951807395,6.061280762408662,4.171944040852449,5.6252396810107514,5.419459658518651,0.21568006745576446,1.189159662408932,48,4.154931254392437
2012-01-07,2.7042077147046384,4.554201650838808,1.6237098427153325,5.032545490877897,3.6907214319935786,5.6630151996580915,5.192414716847391,0.20986168085393922,0.9167510640458189,25,4.391136841708802
2012-01-08,3.8230887292860776,5.617437548206051,1.4888802369108591,5.900569294629229,4.014453295497585,5.554464310635684,5.791684531029094,0.2272846486982052,1.2369447456025813,35,4.263041812795179
2012-01-09,2.1219700727512287,3.985755784450267,1.902623276402655,5.879954601105033,4.160305551031816,5.423610424021679,4.09416920082974,0.19357456477831791,0.9198130534647417,48,4.148113551768642
2012-01-10,2.6844959859030717,5.170706228436024,2.171438059421965,6.221677052966829,4.456699480693256,5.519907524728185,3.4744400112308913,0.22368982563965195,1.0749689057042038,57,4.078933627612766
2012-01-11,2.5521041864267526,5.216394339261656,2.0884888644541117,6.302359815835598,4.380381946946113,5.505548957366384,3.678128546638021,0.2163537856609864,1.0187249930439166,56,3.5796907300560616
2012-01-12,2.2642068283952965,5.630334325785134,2.219867129963112,6.0760492688102135,4.4028988495139165,5.711553217675113,3.0042184680319437,0.2051799199837355,1.333808574829235,52,4.499275222632271
2012-01-13,2.540627378113512,5.883160736765178,2.3417472251086977,6.011808511021966,4.4067268724352555,5.858957344722389,3.323950757982758,0.22630291722811222,1.223985975699777,35,4.426700178854748
2012-01-14,2.9444408619512505,5.629903924316724,2.3347553321776098,6.101333556341317,4.438198460929297,6.073440690211769,4.279757239872652,0.21750281645068403,1.261964835342227,33,4.28055104661439
2012-01-15,2.904309881116768,4.805921710374212,1.6567460524537163,5.095234213465851,3.6988378848220784,5.970979300739289,5.339601220350316,0.22072947013154143,0.8568189775467865,27,4.361533937961735
2012-01-16,3.818590378943565,5.352876276603719,1.840894551960787,6.148981779169798,4.167383739210463,5.65328645436777,5.0478689132065115,0.23292999312599358,1.1724222819515742,59,4.488880512103846
2012-01-17,4.49028617207973,6.395333420198514,2.20051200120312,7.028890503557783,4.699847749904525,5.706417177589221,4.5058852661310365,0.26295168058120355,1.3878858511035166,41,5.022521029080874
2012-01-18,4.161805652719951,6.38362800335551,1.6159541595875586,5.62461315263964,3.9178860353818123,5.745019415572739,6.107627287388143,0.21315919602217231,1.1974664966839534,42,4.534909857333084
2012-01-19,4.144532570318655,6.6759015045597385,1.7562324490457906,5.871203364644101,4.100315912794638,5.72477625690097,6.04403351180536,0.20880747722269422,1.3054136876950169,51,4.299436110749907
2012-01-20,4.306162080115502,5.999166919026558,1.671227514150842,5.9445430582501935,4.052354199522085,5.731035347157861,5.884501442382937,0.2048746017003897,1.3979138966515798,36,4.534891818014366
2012-01-21,3.4016515926770126,6.3736388675973155,1.794353801650829,6.089008664767204,4.210239775890606,5.829372971199516,5.347018394082035,0.19713224436039353,1.5990260939160896,34,4.452770514230753
2012-01-22,2.6097432078635903,5.9020517360744975,1.5301737379209541,5.5303357850792505,3.8679115606259242,5.858470029806532,5.386218203065063,0.18683948482395804,1.3482485501452972,14,4.86107374414041
2012-01-23,2.532463401119906,5.936494527539399,1.8639956187078122,5.6910594818155165,4.10276565997573,5.930068557286042,4.739952014907245,0.1945056230403853,1.3450739417160333,58,4.726816083881873
