CGC_HOSP,data_dia,num_internacoes
00254512000184,2012-01-01,28
00254512000184,2012-01-02,98
00254512000184,2012-01-03,0
00254512000184,2012-01-04,14
00254512000184,2012-01-05,28
00254512000184,2012-01-06,70
00254512000184,2012-01-07,70
00254512000184,2012-01-08,70
00254512000184,2012-01-09,14
00254512000184,2012-01-10,14
00254512000184,2012-01-11,42
00254512000184,2012-01-12,56
00254512000184,2012-01-13,70
00254512000184,2012-01-14,28
00254512000184,2012-01-15,28
00254512000184,2012-01-16,56
00254512000184,2012-01-17,42
00254512000184,2012-01-18,42
00254512000184,2012-01-19,56
00254512000184,2012-01-20,126
00254512000184,2012-01-21,98
00254512000184,2012-01-22,14
00254512000184,2012-01-23,168
00254512000184,2012-01-24,70
00254512000184,2012-01-25,42
00254512000184,2012-01-26,28
00254512000184,2012-01-27,14
00254512000184,2012-01-28,14
00254512000184,2012-01-29,224
00254512000184,2012-01-30,0
00254512000184,2012-01-31,0
00254512000184,2012-02-01,70
00254512000184,2012-02-02,14
00254512000184,2012-02-03,84
00254512000184,2012-02-04,14
00254512000184,2012-02-05,84
00254512000184,2012-02-06,28
00254512000184,2012-02-07,70
00254512000184,2012-02-08,154
00254512000184,2012-02-09,28
00254512000184,2012-02-10,28
00254512000184,2012-02-11,14
00254512000184,2012-02-12,182
00254512000184,2012-02-13,70
00254512000184,2012-02-14,84
00254512000184,2012-02-15,84
00254512000184,2012-02-16,0
00254512000184,2012-02-17,0
00254512000184,2012-02-18,0
00254512000184,2012-02-19,28
00254512000184,2012-02-20,0
00254512000184,2012-02-21,14
00254512000184,2012-02-22,70
00254512000184,2012-02-23,112
00254512000184,2012-02-24,84
00254512000184,2012-02-25,42
00254512000184,2012-02-26,84
00254512000184,2012-02-27,210
00254512000184,2012-02-28,0
00254512000184,2012-02-29,0
00254512000184,2012-03-01,140
00254512000184,2012-03-02,154
00254512000184,2012-03-03,42
00254512000184,2012-03-04,28
00254512000184,2012-03-05,84
00254512000184,2012-03-06,70
00254512000184,2012-03-07,42
00254512000184,2012-03-08,70
00254512000184,2012-03-09,84
00254512000184,2012-03-10,112
00254512000184,2012-03-11,70
00254512000184,2012-03-12,84
00254512000184,2012-03-13,84
00254512000184,2012-03-14,112
00254512000184,2012-03-15,154
00254512000184,2012-03-16,0
00254512000184,2012-03-17,42
00254512000184,2012-03-18,140
00254512000184,2012-03-19,98
00254512000184,2012-03-20,112
00254512000184,2012-03-21,42
00254512000184,2012-03-22,98
00254512000184,2012-03-23,42
00254512000184,2012-03-24,14
00254512000184,2012-03-25,126
