data_dia,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,AQI,Qualidade_do_Ar
2012-01-01,2012,1,1,1.6939214842450085,-0.051741924737394224,1.9174837272042162,0.693389611800267,-1.964226884106434,-0.7598968666149102,-1.150568463937862,-0.8226661991751072,-0.9176040534746139,-0.8698086560367547,0.03573521531861535,-1.4771061500129576,1
2012-01-02,2012,1,2,1.8164311277869694,-0.9438700725768955,2.2365528702186013,-0.3028320234737012,0.22635534766948323,-0.3710436526959467,-0.16844554506594694,-1.3465590119150905,-1.2327151253916775,-2.3195700738918936,-1.3671600115554108,-2.07141784420337,1
2012-01-03,2012,1,3,-0.7669910721774742,-0.31560243395167814,0.42408358527998974,-0.7787470762520388,0.7026735590693047,-0.21614926405672677,0.18433454416981515,-0.21783537044076512,-1.7628707300959348,-0.8543600637581388,-1.570304606989688,-1.2359227870611238,1
2012-01-04,2012,1,4,-0.6980323664636277,-0.0008736642237049788,0.12262661166680691,-0.6124566926316515,1.2387478088609847,0.753857574009961,1.0369849810461627,-0.5885485324471218,-0.720611463424075,0.20215187775839596,0.1503008073438743,-0.029610198067202907,1
2012-01-05,2012,1,5,-0.8395915649403365,0.1454841379560333,0.3658422843500858,-0.6560185541843243,0.6546003054813715,0.3336012841064697,0.4723838336463763,-0.6175870919493395,0.06341654435654344,-0.020605777914014092,-0.39841937788672305,0.13753447261249488,1
2012-01-06,2012,1,6,1.7330479424461787,0.31861470882718596,0.5426162809325308,-0.02994510487295356,0.07297828788927947,0.4636100365984219,0.2987810804735008,-0.023747793805325174,0.07675896541162353,-0.5602395003916202,-0.7778109149115238,-0.2808852327706742,1
2012-01-07,2012,1,7,-0.161121690972341,0.4840109242985975,0.02925415801598531,-0.13990262517832078,0.01042185047687675,-0.4260645749518725,-0.30674051660441215,-0.41320203317261023,0.16735013526982123,-1.164828505056189,-0.8551962516071787,-0.6550569252002917,1
2012-01-08,2012,1,8,1.6639635587591834,0.12138864613375949,0.8930891334083205,0.19492274457371944,-0.680842783423873,0.3345882250899233,-0.017414816955222505,0.6457104132312438,0.4338694116596216,-0.19897405372208904,0.14617471623216963,-0.08912472694423804,1
2012-01-09,2012,1,9,1.2533135978334555,-0.28079783465283775,1.2833524426794212,-0.5694494705915059,0.32905818157137573,0.23711808727093076,0.25875764920595734,-0.6175870919493395,-1.5013817943107055,-1.9451869336808887,-1.2523734363400603,-0.8293378971767738,1
2012-01-10,2012,1,10,1.600714370608391,0.01786727386028552,0.7113762745070199,0.16986989299450156,1.1919972545250483,0.6046756926943602,0.9324270955655893,0.06185944062665016,-1.9109384515869612,-0.5373161637569327,-0.8111886484479087,-1.6098969113501618,1
2012-01-11,2012,1,11,0.35577794929210743,-0.010095395661858849,0.9881389365259234,0.10194431403928676,0.5369702498795712,0.7405287874240792,0.6560185000760994,0.1552763401173847,-1.4124393147079297,-0.44812207861356795,-1.0278390141067535,-0.8293378971767738,1
2012-01-12,2012,1,12,-0.8395915649403365,0.6458374372778202,-0.021811814639354655,-0.12129310788995352,1.0649889213818096,0.5267894909007048,0.8119545000273317,0.8579921207538088,-1.611588004820563,-0.0275754713931263,-1.1049001125797042,-0.3497336244767334,1
2012-01-13,2012,1,13,1.5011996164738306,1.1658241003066458,-0.4541020466614734,0.26063856318769457,1.1627057472546403,0.43231328004829284,0.8252904602175178,1.3730418394263553,-1.1440166569395025,0.15017791106726439,-0.8794275329555971,-1.1257931254162938,1
2012-01-14,2012,1,14,0.16478918518643365,1.9939950784944322,-1.7342924341415071,0.06736014795870734,0.9880502956708271,0.16950678692131432,0.5929946365710111,0.14204542616588942,-0.4752448705611479,-0.16627209816719188,-0.39307554252964316,-1.2359227870611238,1
2012-01-15,2012,1,15,1.6879519424359488,1.5287438536791664,-1.0867423538824623,0.34847447464175524,-0.3260219184379241,-0.40541579545362505,-0.43190642264803797,-0.8422310715912886,-0.03741681753769921,-0.8833298701626037,-0.5864222648621513,-1.3527618804756893,1
2012-01-16,2012,1,16,1.567722581489947,0.4792513209756797,0.9206722135287236,0.630932703347582,0.1672612974124114,0.8388143598331654,0.5741357282447428,0.6205981542497536,0.3301877944583778,-0.3932315061884379,0.21020217357405113,-0.4959458623742603,1
2012-01-17,2012,1,17,-0.8395915649403365,0.632451052932113,0.48670463203982356,0.8265648084255005,0.9966197107167405,1.450665702981161,1.2716917977617532,0.8536050440577343,0.6886284401472805,0.6681321701723812,0.8085724364498259,1.9272129072338415,3
2012-01-18,2012,1,18,-0.8395915649403365,0.7499537599666586,0.21115338908026118,-0.07526818436989764,-0.11223456509687997,0.22212100803678084,0.07344662432588965,0.1645822760447629,1.16467441172607,0.6705587336846854,0.42385346711325417,1.0823715186040261,2
2012-01-19,2012,1,19,1.7471793930571924,0.6958132721684622,0.20602815459843032,-0.14925058365734345,0.3884480462378019,0.41338548229030286,0.39251651969341195,0.5840985699519036,1.060802724266713,0.9432867879683042,0.4515171524227746,0.027927576551167392,1
2012-01-20,2012,1,20,-0.7669910721774742,0.7163390614985482,0.1740653286480987,-0.2930072028719149,-0.5274819891087292,0.5086736446080741,0.145088281171186,0.9445703322336598,0.8492790236939428,0.3190244014982734,0.5570110796160573,-0.4213496256702301,1
2012-01-21,2012,1,21,-0.8395915649403365,1.0480239180644173,-0.41757310271823805,-0.4539685129436261,0.17928418529183382,0.4990315438509714,0.3618018107712915,1.7869148344342176,1.038437409661917,0.7214291207859791,-0.1576218109108853,1.648197620280408,3
2012-01-22,2012,1,22,-0.8395915649403365,1.1366715299537704,-0.5971426817453173,-0.8015342193128994,-0.8564139642844384,-0.09559611647072039,-0.37699556022282976,0.6722892392387797,0.6456479736505493,0.07726739849474398,-0.8829386917797518,1.0523213063277017,2
2012-01-23,2012,1,23,-0.8395915649403365,1.3788163490072394,-0.9420243693318373,-0.3926558818147999,0.5679588248008389,0.09087445293516105,0.2865532679985279,0.6989860380526886,0.11607260034622778,0.2751264777200691,-0.8010656229354377,-0.029610198067202907,1
2012-01-24,2012,1,24,-0.8395915649403365,1.637322304483241,-1.3838195816657166,-0.5164570701178699,0.8512559841800529,-0.07388975558025453,0.35588934412863604,1.070192446083123,-0.3936107262470283,0.5984892462059801,-0.7744892751682034,-0.4959458623742603,1
2012-01-25,2012,1,25,-0.8395915649403365,1.9053474666050783,-1.6973907458723199,-0.14925058365734345,0.9160371712659446,-0.009760863496126586,0.4307429383293524,0.7270993525629844,-0.7719455541862141,0.35013727014973645,-1.1853890842875925,-0.9230441372288657,1
2012-01-26,2012,1,26,1.2928411409048555,1.0834234677786223,-0.2016609519108974,0.9154045160064623,-0.4451064072984141,0.12325718533942685,-0.10273887682238954,1.5099133376194445,0.2528506398413759,3.236701326001623,-0.11931270766700836,-0.6550569252002917,1
2012-01-27,2012,1,27,1.7289011865012487,-0.8992487914245357,1.7803138152541056,-0.48506405656454066,-0.18144216115001255,-0.5098431196212161,-0.44651374333119986,-0.8984347333744376,-0.46943812114697964,-0.040510008459808435,-1.5909064227062963,-1.3527618804756893,1
2012-01-28,2012,1,28,1.756580519549807,-1.236585676936371,1.88831648369852,-0.8475550636610705,0.5099730722160221,0.14780339987227023,0.2875359953303545,-0.7802123687414447,-0.6459516435805597,-1.7601624376200655,-1.0431024473603248,-1.752258195286985,1
2012-01-29,2012,1,29,1.7512592569477072,-1.1315769286244863,1.8089219422708747,-0.3028320234737012,-0.37681796319815364,-0.6499100940624182,-0.6214575156316793,-0.2086374322791145,-1.7760458782737196,-1.4779789743619798,-1.3900782080371838,-2.6678568730910395,1
2012-01-30,2012,1,30,-0.7669910721774742,-0.5422785422056627,0.9896299138297294,0.3641387854373018,1.3866591512918598,0.21532152314864503,0.8827210416475322,0.11305366964587729,-1.653768662542822,-0.14709812734533778,-0.5451243692241828,-1.2359227870611238,1
2012-01-31,2012,1,31,1.4753371801459707,-0.3554641117811191,1.2986349600434282,0.014689403915650202,1.0374966102893337,0.850149068323151,0.966819986688613,-0.23014348719645025,-1.153238413939571,-0.2665049734139723,-0.09798885407104556,-1.02169450273775,1
2012-02-01,2012,2,1,1.4553193945702987,0.6749900076306945,-0.07278460121320633,0.02353482408156123,1.3630956314323064,0.548066806906581,1.0219783738065804,0.7533643499577573,-0.6212818082241306,-0.053262440391374434,-0.8346950046872524,-0.2808852327706742,1
2012-02-02,2012,2,2,-0.8395915649403365,1.1414311332766893,-0.6313419736513572,-0.623294814562491,0.7379193942259489,0.07390478762094674,0.3703424811505385,1.008400847175428,-0.3024875218850234,0.14896396641900675,-1.330981350722599,0.1898105260421589,1
2012-02-03,2012,2,3,-0.8395915649403365,1.227103993089219,-0.9915061786018835,-0.8475550636610705,0.6808491642498037,-0.14867350600349796,0.01772219518202101,0.8151331356644973,-0.48988873456543786,-0.044917338865423644,-1.6762366086943898,0.08360649479088758,1
