data_formatada,aqi_final,descricao_aqi
2012-05-24,97.24108695652174,Moderate
2012-05-25,111.77621621621621,Unhealthy for Sensitive Groups
2012-05-26,106.87243243243243,Unhealthy for Sensitive Groups
2012-05-27,89.34782608695653,Moderate
2012-05-28,131.88149078726968,Unhealthy for Sensitive Groups
2012-05-29,124.64845058626466,Unhealthy for Sensitive Groups
2012-05-30,126.23869346733669,Unhealthy for Sensitive Groups
2012-05-31,114.62351351351352,Unhealthy for Sensitive Groups
2012-06-01,75.85152173913043,Moderate
2012-06-02,90.6154347826087,Moderate
2012-06-03,88.73,Moderate
2012-06-04,105.3154054054054,Unhealthy for Sensitive Groups
2012-06-05,101.12864864864865,Unhealthy for Sensitive Groups
2012-06-06,93.09739130434782,Moderate
2012-06-07,54.994565217391305,Moderate
2012-06-08,62.64282608695653,Moderate
2012-06-09,61.88652173913043,Moderate
2012-06-10,57.508478260869566,Moderate
2012-06-11,77.84347826086957,Moderate
2012-06-12,101.61297297297297,Unhealthy for Sensitive Groups
2012-06-13,79.52652173913043,Moderate
2012-06-14,98.66847826086956,Moderate
2012-06-15,103.26648648648649,Unhealthy for Sensitive Groups
2012-06-16,90.58347826086955,Moderate
2012-06-17,76.18173913043478,Moderate
2012-06-18,104.42621621621622,Unhealthy for Sensitive Groups
2012-06-19,110.43886097152429,Unhealthy for Sensitive Groups
2012-06-20,102.89803182579566,Unhealthy for Sensitive Groups
2012-06-21,92.70326086956523,Moderate
2012-06-22,67.83043478260869,Moderate
2012-06-23,62.41913043478261,Moderate
2012-06-24,87.63588403041825,Moderate
2012-06-25,63.04039923954373,Moderate
2012-06-26,83.32934782608694,Moderate
2012-06-27,87.64347826086957,Moderate
2012-06-28,104.58135135135136,Unhealthy for Sensitive Groups
2012-06-29,105.81864864864865,Unhealthy for Sensitive Groups
2012-06-30,105.9,Unhealthy for Sensitive Groups
2012-07-01,155.99463519313304,Unhealthy
2012-07-02,105.13378378378378,Unhealthy for Sensitive Groups
2012-07-03,111.87520938023451,Unhealthy for Sensitive Groups
2012-07-04,98.7963043478261,Moderate
2012-07-05,95.92021739130436,Moderate
2012-07-06,101.55432432432433,Unhealthy for Sensitive Groups
2012-07-07,105.35135135135135,Unhealthy for Sensitive Groups
2012-07-08,69.00217391304349,Moderate
2012-07-09,73.82760869565217,Moderate
2012-07-10,102.23351351351351,Unhealthy for Sensitive Groups
2012-07-11,108.80972972972972,Unhealthy for Sensitive Groups
2012-07-12,103.72243243243243,Unhealthy for Sensitive Groups
2012-07-13,76.3308695652174,Moderate
2012-07-14,62.69608695652175,Moderate
2012-07-15,69.51347826086956,Moderate
2012-07-16,77.02326086956523,Moderate
2012-07-17,66.55217391304348,Moderate
2012-07-18,73.5613043478261,Moderate
2012-07-19,62.02499999999999,Moderate
2012-07-20,88.10152173913043,Moderate
2012-07-21,110.74664991624792,Unhealthy for Sensitive Groups
2012-07-22,173.30060801144492,Unhealthy
2012-07-23,137.01130653266333,Unhealthy for Sensitive Groups
2012-07-24,155.19140438721985,Unhealthy
2012-07-25,136.7035175879397,Unhealthy for Sensitive Groups
2012-07-26,107.71432432432432,Unhealthy for Sensitive Groups
