data_formatada,descricao_aqi,aqi_final
2012-05-04,Moderate,3.9656492811124133
2012-05-05,Moderate,3.957896990888133
2012-05-06,Moderate,4.2123583554691715
2012-05-07,Moderate,4.050578197226787
2012-05-08,Moderate,4.057119274478316
2012-05-09,Moderate,4.305520359419093
2012-05-10,Unhealthy for Sensitive Groups,4.559661478765105
2012-05-11,Unhealthy for Sensitive Groups,4.64871115895747
2012-05-12,Unhealthy for Sensitive Groups,4.574210914461415
2012-05-13,Moderate,4.258715738330693
2012-05-14,Moderate,4.351377588582634
2012-05-15,Moderate,4.279358292688554
2012-05-16,Moderate,4.020319121936016
2012-05-17,Moderate,3.9650976137962872
2012-05-18,Moderate,4.073033205274531
2012-05-19,Moderate,3.9707829720776675
2012-05-20,Moderate,3.9787952324769074
2012-05-21,Moderate,4.376509589617747
2012-05-22,Moderate,4.28688747249239
2012-05-23,Moderate,4.424992887093218
2012-05-24,Moderate,4.496636092007868
2012-05-25,Unhealthy for Sensitive Groups,4.630994196775402
2012-05-26,Unhealthy for Sensitive Groups,4.587740481273775
2012-05-27,Moderate,4.414915030974547
2012-05-28,Unhealthy for Sensitive Groups,4.790335812800977
2012-05-29,Unhealthy for Sensitive Groups,4.7360202198350025
2012-05-30,Unhealthy for Sensitive Groups,4.748229535967937
2012-05-31,Unhealthy for Sensitive Groups,4.655239496987029
2012-06-01,Moderate,4.256681156205973
2012-06-02,Moderate,4.428517942972751
2012-06-03,Moderate,4.408214379653868
2012-06-04,Unhealthy for Sensitive Groups,4.5735874281704305
2012-06-05,Unhealthy for Sensitive Groups,4.5344587723500975
2012-06-06,Moderate,4.454605595464205
2012-06-07,Moderate,3.9453994133277086
2012-06-08,Moderate,4.0715524205677465
2012-06-09,Moderate,4.059789966314878
2012-06-10,Moderate,3.98871757513891
2012-06-11,Moderate,4.28174231924573
2012-06-12,Unhealthy for Sensitive Groups,4.539067857073428
2012-06-13,Moderate,4.302418331865593
2012-06-14,Moderate,4.510697587761515
2012-06-15,Unhealthy for Sensitive Groups,4.55463840548809
2012-06-16,Moderate,4.428177374799241
2012-06-17,Moderate,4.260881213981164
2012-06-18,Unhealthy for Sensitive Groups,4.5654099770161585
2012-06-19,Unhealthy for Sensitive Groups,4.6193906941146645
2012-06-20,Unhealthy for Sensitive Groups,4.551190665487892
2012-06-21,Moderate,4.450510078001201
2012-06-22,Moderate,4.148569574341052
2012-06-23,Moderate,4.068088355578653
2012-06-24,Moderate,4.396231921518723
2012-06-25,Moderate,4.077678430393541
